acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.159,['Chloe x Halle'],0.819,195427,0.388,0,7zzFMgUlCC0ZUQGXkf6t1B,0.0906,9,0.109,-6.396,1,Lonely,60,6/12/2020,0.0812,94.984,0.241,2020
0.916,['Lorde'],0.578,171750,0.204,0,7zQHG2AQPbm8YnOCqSd731,0,10,0.101,-12.363,0,Liability,1,6/12/2020,0.134,81.708,0.351,2020
0.994,['Night Poets'],0.324,237861,0.00249,0,7zoNjIq4DZadcFOxwKvrlC,0.946,0,0.11,-34.247,1,Parts Unknown,68,1/13/2020,0.0351,67.725,0.0362,2020
0.247,['DaBaby'  'Roddy Ricch'],0.746,181733,0.69,1,7ytR5pFWmSjzHJIeQkgog4,0,11,0.101,-7.956,1,ROCKSTAR (feat. Roddy Ricch),99,4/17/2020,0.164,89.977,0.497,2020
0.929,['Alessia Cara'],0.385,254507,0.371,0,7yT4hFhyGmswCEBLZeat9P,0,6,0.147,-5.718,1,River Of Tears,4,6/12/2020,0.0476,89.861,0.285,2020
0.171,['Gabby Barrett'  'Charlie Puth'],0.554,209763,0.576,0,7ySPksJKRpoLlIaE31Yijc,0,6,0.159,-6.495,1,I Hope - feat. Charlie Puth,66,4/17/2020,0.0399,74.942,0.409,2020
0.384,['Lalo Ebratt'  'Yera'  'Skinny Happy'  'Trapical'],0.732,200625,0.737,0,7yhpFoOsTTGSdFXNnAzNBD,0,7,0.14,-6.832,1,Te EncantarÃ­a,2,6/12/2020,0.0654,128.042,0.647,2020
0.00173,['Lady Gaga'],0.68,193533,0.825,0,7yBbV2k2S2uhaQc24NF2xt,0.000122,8,0.27,-4.296,1,Stupid Love,84,5/29/2020,0.0702,117.987,0.784,2020
0.344,['Kygo'  'OneRepublic'],0.58,199549,0.586,0,7xbWAw3LMgRMn4omR5yVn3,0,1,0.0755,-6.883,1,Lose Somebody,88,5/15/2020,0.0357,147.988,0.507,2020
0.00397,['KSI'  'Lil Pump'  'Smokepurpp'],0.851,213173,0.662,1,7x6t40pKRU1h9fFx7124wf,0,1,0.106,-6.456,1,Poppin (feat. Lil Pump & Smokepurpp),70,3/27/2020,0.158,154.905,0.512,2020
0.0498,['Lil Baby'  'Rylo Rodriguez'],0.897,167172,0.574,1,7wxl36fAGU3Afv87ZblUwg,6.38E-06,8,0.122,-8.017,1,Forget That (feat. Rylo Rodriguez),61,2/28/2020,0.406,150.085,0.769,2020
0.113,['Machine Gun Kelly'  'Young Thug'  'RJMrLA'  'Lil Duke'],0.884,169047,0.901,1,7wUI9IJZFCeFfh33Li4MYv,1.54E-06,1,0.126,-2.394,1,Bullets With Names (feat. Young Thug  RJMrLA & Lil Duke),65,3/13/2020,0.146,148.114,0.725,2020
